username,country,title,date_watched,percentage_watched,rating
Craig Harrington,Montserrat,"[""Monty Don's French Gardens"" ""Ricardo O'Farrill: Abrazo navideño""
 'The Twilight Saga: Breaking Dawn: Part 1'
 'NOVA: Prediction by the Numbers' 'She-Ra and the Princesses of Power'
 'Urzila Carlson: Overqualified Loser' 'Crazy people']",2013,29,1
Mr. John Perkins,Costa Rica,"['A Very Special Love' 'Mandela' 'World Famous Lover' 'Sex Education'
 'We the People' 'Murder Mountain' 'Money Heist: The Phenomenon']",2000,65,9
Steven Mccarty,Micronesia,"['Dead Man Down' 'Theo Who Lived' 'How I Became a Superhero'
 'What a Wonderful Family!' ""Dad's Army""
 'Crack: Cocaine, Corruption & Conspiracy' 'Inhuman Resources'
 'Ghanchakkar' 'Lucha: Playing the Impossible']",2017,33,1
Bruce Clark,Algeria,"['Little Monsters' 'Cinta Si Wedding Planner' 'The Karate Kid Part II'
 'Move to Heaven' 'El desconocido' 'Case' 'Time to Hunt']",2017,86,4
Amber Roberts,Romania,"['Thaandavam' 'Dangal' 'Udaan' 'Edge of Seventeen'
 'Best.Worst.Weekend.Ever.' 'Set Up' 'Mugamoodi' 'Saawan']",2022,36,9
Don Schroeder,Iran,"['Tigertail' 'Si Doel the Movie 3' 'Before 30' 'The Arbitration'
 ""Barbie in Rock 'N Royals"" 'The Dirty Picture' 'Bolívar' 'Outlander']",2022,23,9
Jane Dennis,Isle of Man,"['Prom Night' 'Day of the Dead: Bloodline' 'Matichya Chuli' 'One 2 Ka 4'
 'Attack on Titan' 'Astronomy Club: The Sketch Show']",2002,38,10
Donald Hernandez,Philippines,"['High & Low The Movie' 'Grandmaster' 'The Drug King' 'Sister Code'
 'Mohawk' 'Seis Manos' 'Omar & Salma 2' 'Shikari']",2022,41,8
Robert Rogers,Hungary,"['Berlin Syndrome' 'NOVA: Black Hole Apocalypse' 'Biggie & Tupac' 'One'
 'Sand Castle' 'Grass Is Greener' 'Chief of Staff' 'Clash']",2006,31,1
Lisa Rodriguez,Cook Islands,"['Shorgul' 'Love Your Garden' 'True Grit' 'Pek Yakında' 'The Blind Christ'
 ""Kevin James: Never Don't Give Up"" 'Needhi Singh' 'Braven' 'Zero Hour']",2010,51,7
Anthony Garza,Portugal,"['Take Your Pills' 'Jis Desh Men Ganga Behti Hai' 'The Hater'
 'Agatha and the Truth of Murder' 'You Can Tutu' 'Beyond Stranger Things'
 'Clash' 'Django Unchained' 'This Earth of Mankind']",2001,94,5
Mr. Russell Vargas PhD,Northern Mariana Islands,"['Operações Especiais' 'The Jane Austen Book Club' 'Sinister 2' 'YOM'
 'Lost in Space' 'Bridgerton - The Afterparty' '3Below: Tales of Arcadia']",2010,53,10
Barry Henry,Saudi Arabia,"['License to Drill: Louisiana' 'A Second Chance:  Rivals!'
 'The House Next Door' 'Crime Scene: The Vanishing at the Cecil Hotel'
 'Sarvam Thaala Mayam (Telugu Version)' 'Command and Control' 'Desire'
 'Once Upon a Time in America' 'Chicken Kokkachi']",2019,95,9
Kevin Day,Papua New Guinea,"['The Trader (Sovdagari)' 'Temple' 'Heroin(e)' ""Where's the Money""
 'Knowing' 'Bobby Jasoos' ""The Blackcoat's Daughter"" 'The Artist'
 'Tamanchey']",2022,26,6
Sarah Smith,Saint Martin,"['The Last Bomb of the Second World War' 'The Bling Ring'
 'Andaleeb El Dokki' 'Littlest Pet Shop: A World of Our Own'
 'Alive and Kicking' 'Monster-in-Law' ""The Chefs' Line""
 'Jupiter Ascending' 'Hiroshima: The Real History']",2012,76,2
Michael Morrow,Grenada,"['The Ring' 'Keith Richards: Under the Influence' 'Familiye' 'Mr. Deeds'
 'Coven of Sisters' 'X Large' 'Horns']",2016,25,10
Kristen Henson,Svalbard & Jan Mayen Islands,"['LEGO Jurassic World: Legend of Isla Nublar' 'The Night Shift'
 'Veerappan' 'Holiday Home Makeover with Mr. Christmas' 'Forever Pure'
 'Besieged Bread' 'Highway Thru Hell' 'LA Originals'
 'Jamtara - Sabka Number Ayega']",2014,5,9
Stacey Jones,Serbia,"['Resident Evil: Afterlife' 'Walking Out' 'In The Deep'
 'The War: A Film by Ken Burns and Lynn Novick' 'Battlefield Recovery'
 'The lynx']",2010,39,8
Christine Zavala,Falkland Islands (Malvinas),"['Kyaa Kool Hai Hum' 'Uppity: The Willy T. Ribbs Story' 'Toll Booth'
 'My Wife and My Wifey' 'Eyyvah Eyyvah 2']",2015,90,10
Amanda Richardson,Falkland Islands (Malvinas),"['Bird Box' 'Albion: The Enchanted Stallion' 'Lock Your Girls In'
 'Letters to Juliet' 'Dancing Queens' 'Flipped' 'The Great Raid'
 'Echo in the Canyon' 'Brian Regan: Nunchucks and Flamethrowers']",2015,36,5
Adam Stout,Antigua and Barbuda,"['John Henry' 'John & Jane' 'The Mole' 'Timeline' 'Our Lovers' '90 ML'
 'Kon-Tiki' 'Hot Girls Wanted']",2002,62,2
Susan Torres,Kiribati,"['Grizzlies' 'Invisible City' 'Posesif' '2 Hearts'
 'Monty Python: Live at Aspen']",2012,72,8
Meghan Carroll,Swaziland,"['Good Luck Chuck' 'Jeff Dunham: Controlled Chaos' 'Best Neighbors'
 'Entangled' 'What Happened to Monday' 'Yasuke' 'Whipped'
 'The Royal Bengal Tiger' 'My Ex-Ex']",2010,11,9
Jodi Brooks,Belize,"['Long Time Running' 'Captain Underpants Mega Blissmas' 'Mar de Plástico'
 'American Ultra' 'The Tiger Hunter' 'Birders'
 'Lady, la vendedora de rosas']",2013,52,5
Colleen Mathews MD,Papua New Guinea,"[""A Young Doctor's Notebook and Other Stories"" 'Operações Especiais'
 'Nee Enge En Anbe' 'Norman Lear: Just Another Version of You'
 'Nneka The Pretty Serpent' 'Greenleaf']",2015,55,1
Debra Mcclure,Benin,"['Barcelona: A Love Untold' 'American Experience: The Island Murder'
 'Falling Inn Love' 'Hi Score Girl' 'Club of Crows' 'For Colored Girls']",2016,76,6
Edwin Weeks,India,"['La Familia P. Luche' 'The Matrix Reloaded' 'The Player' 'In Too Deep'
 ""Masha's Tales"" 'That Thing Called Tadhana' 'Sexo, Pudor y Lagrimas'
 'Late Life: The Chien-Ming Wang Story']",2001,77,10
Michelle Rangel,Uruguay,"['Lakeeran' 'Behind Her Eyes' 'Encounters with Evil'
 'Domestic Disturbance' 'The Hollywood Masters'
 'El patrón, radiografía de un crimen']",2006,75,4
Jennifer Lloyd,French Southern Territories,"['Ha Unlimited' 'The Resurrection of Gavin Stone' 'Death House' 'Equinox'
 'Stree']",2017,87,2
Juan Johnson,Cote d'Ivoire,"['Thomas & Friends: Marvelous Machinery: A New Arrival' 'The Interview'
 'Dear Zindagi' 'Bottom of the World' 'Queen of the South' 'Beynelmilel'
 'Dances with Wolves' 'Magic Snowflake']",2006,36,4
Kenneth Tucker,Solomon Islands,"['The Silent War' 'Forensic Files' 'Care Bears: Welcome to Care-a-Lot'
 'Waffles + Mochi' 'Dragonheart' 'Sand Castle' 'Marvel Anime: X-Men'
 'The Bad Batch' ""Can't Cope, Won't Cope""]",2008,1,2
Lisa Franklin,Tonga,['3 Generations' 'Mismatched' 'I Care a Lot' 'Gabbar Is Back' 'Hulk Vs.'],2016,52,10
Victoria Carr,Algeria,"['Young Royals' 'I Am Me!' 'Masameer - The Movie' 'Quigley Down Under'
 'Criminal: Germany']",2007,41,4
Adam Yates,Egypt,"['Full Count' '20 Feet From Stardom' 'Sextuplets' 'Doctor Foster' 'Haani'
 'Hope Aur Hum' 'Full Out' 'Kulipari: An Army of Frogs']",2008,88,10
Michael Briggs,Estonia,"['Secrets of Westminster' 'Trailer Park Boys: Out of the Park: USA'
 'Birth of the Dragon' 'Dave Chappelle' 'Hire a Woman' 'Elstree 1976'
 'Green Door' 'East Side Sushi']",2017,54,4
Michelle Barnett,Qatar,"['Pasión de Gavilanes' 'Teenage Mutant Ninja Turtles' 'The Bachelor'
 '13 Reasons Why' 'The Night Clerk' 'Lady in the Water']",2004,14,9
Michael Brown,Serbia,['Adú' 'Kaleidoscope' 'Johnny Test' 'Holy Man 2' 'Zoids Wild' 'Bad Genius'],2010,22,2
Rachel English,Suriname,"['Tree Man' 'Equilibrium' 'An American Girl: McKenna Shoots for the Stars'
 'City of God' 'Kota Factory' 'Take the Ball, Pass the Ball' 'Océans'
 'Dedemin Fisi' 'ATM']",2018,26,10
Thomas Harris,Congo,"['Haunters: The Art of the Scare' 'Kung Fu Yoga'
 'Gour Hari Dastaan: The Freedom File' 'Triple Threat' 'Jab We Met'
 'When Love Happens' 'Bbuddah Hoga Terra Baap' 'Dinosaur King'
 'Si Doel the Movie 3']",2002,16,4
Valerie Tran,Israel,"['Nightflyers' 'Taramani' 'Miracle' 'The Ghost Who Walks' 'Navillera'
 'Handsome Siblings']",2004,20,4
Dakota Cortez,New Caledonia,"['Kristy' 'The Ministry of Time'
 'The House of Flowers Presents: The Funeral' 'Good Kisser'
 'August: Osage County' 'The I-Land' 'Falling Inn Love']",2008,46,4
Jessica Flores,Andorra,"['The Calling' 'Sniper: Ghost Shooter' 'GANTZ:O' 'Ajji' 'La Bamba'
 'Son Of Adam' 'The Fluffy Movie' 'Midnight Run']",2021,65,3
Hector Williams,Northern Mariana Islands,"['Cardboard Gangsters' 'Jaguar' 'Total Frat Movie'
 'The Plagues of Breslau' 'My Stupid Boss 2' 'Varane Avashyamund'
 'Life Ki Toh Lag Gayi']",2003,50,4
Kimberly Brown,Trinidad and Tobago,"['Training Day' 'Shadow and Bone - The Afterparty'
 'The Parisian Agency: Exclusive Properties'
 'Jack Whitehall: Travels with My Father' 'Payday' ""River's Edge""]",2009,64,6
Jennifer Martin,Palau,"['Jackie Brown' 'Quigley Down Under' 'Haywire' 'Superbad'
 'The Lonely Island Presents: The Unauthorized Bash Brothers Experience'
 'ReMastered: The Miami Showband Massacre']",2004,40,5
Matthew Lee,Bahrain,"['Ip Man 2' 'The lynx' 'Akbar\xa0Birbal' 'Gollu Aur Pappu'
 'LEGO Marvel Super Heroes: Avengers Reassembled!' 'Possessed'
 'Escaping Tel Aviv' 'Milk']",2011,81,10
Donna Prince,Serbia,"[""Ma Rainey's Black Bottom"" 'Nailed It' 'The Book of Henry'
 'In the Tall Grass' 'Pick of the Litter' 'The Great Hack'
 ""Dr. Seuss' The Grinch"" 'Puriyatha Puthir'
 'Krish Trish and Baltiboy: Face Your Fears']",2003,21,8
Cory Clark,Sao Tome and Principe,"['Comedy High School' 'Stealing History'
 'Manolo: The Boy Who Made Shoes for Lizards'
 'Bert Kreischer: Secret Time' 'Koi Aap Sa' 'Gollu Aur Pappu']",2017,70,5
Lawrence Reilly,Northern Mariana Islands,"['Strawberry Shortcake: Berry Bitty Adventures' 'Rosario Tijeras'
 'Fake or Fortune?' 'Shark Night' 'Girls und Panzer'
 'LEGO House - Home of the Brick' 'Hoops']",2001,35,3
Jessica Garcia,France,"['Mean Girls 2' 'Little Lunch: The Halloween Horror Story'
 'Shot in the Dark' 'NOVA: Poisoned Water' 'SGT. Will Gardner']",2013,15,5
Kristina Rios,Bosnia and Herzegovina,"['Kill Command' 'The Ivory Game' 'Mama Drama' 'Sabrina' 'Shopkins: Wild'
 'Then Came You']",2011,3,1
Monique Singleton,Sierra Leone,"['A Cinderella Story: Christmas Wish' 'A Little Help with Carol Burnett'
 'Trumbo' 'Project Marathwada' 'Seth Meyers: Lobby Baby' 'Connected']",2007,16,6
Jean Chavez,Turkmenistan,"['The Rehearsal' 'The Whole Nine Yards'
 'True Memoirs of an International Assassin' 'KO One' 'The White Helmets'
 'The Light of My Eyes']",2005,99,4
John Douglas,Samoa,"[""God's Own Country"" 'A Most Violent Year' 'Empire of Scents'
 'Rabbids Invasion' 'The Book of Eli' 'The Last Whistle']",2004,10,5
Derrick Martinez,American Samoa,"['Hard Lessons' 'The Lives of Others' 'Chasing Cameron' 'Democrats'
 'Katt Williams: American Hustle (The Movie)' 'Desire' 'Ice Guardians']",2020,45,5
Chelsea Gibbs,Togo,"['The Perks of Being a Wallflower' 'Camp Cool Kids' 'Twogether'
 'Bhasmasur' 'Jamtara - Sabka Number Ayega']",2005,39,10
Timothy Fuller,Japan,"['K.O. One Re-act' 'Toon' ""Don't Crack Under Pressure III""
 'The Rope Curse 2' 'Glowing Embers' 'Kevin James: Sweat the Small Stuff'
 'Miss Me This Christmas'
 'Club Friday To Be Continued - My Beautiful Tomboy'
 'The War: A Film by Ken Burns and Lynn Novick']",2021,36,6
Nancy Goodman,Palestinian Territory,"['From Paris with Love' 'The Land of Cards' 'BONDING' 'Double World'
 'Unabomber - In His Own Words']",2006,8,7
Julie Collins,Niue,"['Two Lovers and a Bear' 'Twin Murders: the Silence of the White City'
 'Cagaster of an Insect Cage' 'Zak Storm' 'Mundeyan Ton Bachke Rahin'
 'Kuch Kuch Hota Hai']",2011,77,2
Sherri Williams,Uzbekistan,"['The Great Heist' 'Influx' '4th Republic' 'Dil Hai Tumhaara'
 ""Don't Crack Under Pressure III"" 'Dancing with the Birds' 'Wolves']",2019,29,2
Julia Cortez,Israel,"['Dhamaal' 'Cedric the Entertainer: Live from the Ville'
 '#FriendButMarried 2' 'One Like It' 'Downton Abbey' 'The Dirty Picture'
 'Dennis the Menace' 'Pink' 'Los Niños Héroes de Chapultepec']",2005,74,6
Michael Coleman,Malta,"['Butterfield 8' 'Me and the Alien'
 'DreamWorks Happy Holidays from Madagascar' 'The Bonfire of Destiny'
 'No One Killed Jessica' 'Jada' 'Jack and the Cuckoo-Clock Heart'
 'Shikara' 'Crimson Peak']",2000,84,3
Shawn Key,Niger,['The Angry Birds Movie 2' 'Grand Designs' 'Hasmukh' 'El Chapo' 'Phamous'],2010,35,1
Julie Jones,Greece,"['Iliza Shlesinger: Confirmed Kills'
 'Harlem Globetrotters: The Team That Changed the World'
 'Love, Death & Robots' '1898: Our Last Men in the Philippines'
 'Sotus The Series']",2013,22,3
Sean Jones,Jamaica,"[""Aunty Donna's Big Ol' House of Fun"" 'Jal' 'Stranger Things'
 ""She's Out of My League"" 'Barbie Star Light Adventure' 'Sisters on Track'
 ""Aditi Mittal: Things They Wouldn't Let Me Say""]",2007,15,8
Felicia Vasquez,Malta,"['Olympus Has Fallen' ""Kevin James: Never Don't Give Up""
 'The American Bible Challenge' 'Refresh Man' 'Notes on Blindness'
 'Criminal Minds' 'The Nut Job']",2004,3,7
Rachel Mcdonald,Nigeria,"['All About Love' 'This Changes Everything' 'Sinister 2'
 'Andaleeb El Dokki' 'Paradise PD']",2016,21,2
Devin West,British Indian Ocean Territory (Chagos Archipelago),"['Food Wars!: Shokugeki no Soma' 'Along Came a Spider' 'My Wife and I'
 'PJ Masks' 'A Champion Heart' 'Power Rangers Wild Force']",2002,96,5
Danny Hardy,Japan,"[""World's Most Wanted"" 'Train to Busan' 'Transformer' 'Kibaoh Klashers'
 'Soul Robbers' 'Wanted']",2008,52,4
Donna Gonzales,Trinidad and Tobago,"['Knightfall' 'Van Helsing' 'The Innocent'
 'John Mulaney & The Sack Lunch Bunch' 'The Great Battle'
 ""Dr. Seuss' The Cat in the Hat"" 'Roonpi Secret Love']",2015,90,4
Ashley Hanson,Burkina Faso,"['Code 8' 'Lost & Found Music Studios' 'DeMarcus Family Rules'
 'Girls und Panzer' 'Carrie' 'DreamWorks Spooky Stories' 'Bobbi Jene'
 'LEGO: CITY Adventures']",2013,56,9
Joseph Smith,Australia,['Newtown' 'Salt Fat Acid Heat' 'Samantha!' 'Luckee' 'Heartthrob'],2014,4,5
Benjamin Baker,Burkina Faso,"[""I'll Sleep When I'm Dead"" 'Cop Car' 'Chasing Monsters'
 'Gbomo Gbomo Express' 'The Monster of Mangatiti']",2016,21,10
Chloe Flores,Nepal,"['Powder' 'Serious Men' 'Pororo - The Little Penguin'
 ""Michael Bolton's Big, Sexy Valentine's Day Special"" 'Love for Sale'
 'Oru Vishsheshapetta Biryani Kissa' ""Horrid Henry's Gross Day Out""
 'Being Napoleon']",2021,67,2
Stephanie Dillon,India,"['Rilakkuma and Kaoru' 'Mighty Little Bheem: Diwali'
 'Bill Hicks: Sane Man' 'Murder Among the Mormons'
 'John Mulaney: The Comeback Kid' 'The Suit' 'Jagga Jasoos']",2015,29,2
David Parker,Bouvet Island (Bouvetoya),"['Call My Agent!' 'Lady, la vendedora de rosas' 'Black Island'
 'Ricardo Quevedo: Hay gente así' 'By the Sea' 'The Talented Mr. Ripley'
 'I am Jonas']",2007,53,7
Rhonda Stokes,Romania,['Dare to Be Wild' 'Gigi' 'Hire a Woman' 'A Good Wife' 'Mantostaan'],2009,80,6
Kelly Donovan,Japan,['Time Is Illmatic' 'The Da Vinci Code' 'Luckee' 'Click' 'Bulletproof 2'],2003,75,1
Amanda Moore,Malawi,"['Bo Burnham: what.' 'Ten Years' 'Bosta' 'ADAM SANDLER 100% FRESH'
 'The Hateful Eight' 'Too Hot to Handle: Brazil']",2002,68,3
Jesse Watkins,Anguilla,"['Empire of Scents' 'Chef' 'Potato Potahto' 'The Occupant' 'Evolution'
 'Flavorful Origins' 'The Standups' 'Dance Academy: The Comeback']",2020,24,10
Deborah Butler,Guatemala,"['Stink!' 'Rosario Tijeras' 'Danur: I Can See Ghosts' 'Episodes'
 'The Last Man on the Moon' 'Somos.' 'Professor Mack']",2010,97,3
Ashley Bean,Niger,"['The Photographer Of Mauthausen' 'Operation Ouch!'
 'Escape from Planet Earth' 'Neevevaro' 'MONKART'
 'Jack Whitehall: Christmas with My Father' 'The Delivery Boy' 'Episodes']",2018,18,7
John Hatfield,Equatorial Guinea,"['Super Monsters Back to School' 'Monster High: Fright On!'
 'The Bye Bye Man' 'Fate/stay night: Unlimited Blade Works' 'The Croods']",2004,8,1
Jonathan Sampson,Kyrgyz Republic,['Uriyadi 2' 'Captive' 'Unsolved' 'Zero Chill' 'Lost in London'],2003,51,10
Sarah Cook,Monaco,"['Benji: Off the Leash' 'The Florida Project' 'Black Is Beltza' 'Mirzya'
 'Sanju' 'Transfers']",2000,55,2
Christopher Roberts,Serbia,"['The Lovers and the Despot' 'Jaws: The Revenge' 'White Fang' 'War Horse'
 'Natalie Palamides: Nate - A One Man Show' 'Bee Movie'
 'The Smart Money Woman' 'Middle Men']",2011,14,5
Kayla Trevino,Nicaragua,"['After We Collided' 'Mujeres arriba' 'Black Is Beltza'
 'To All the Boys: Always and Forever - The Afterparty' 'Cliffhanger']",2019,49,4
Jordan Reed,Cape Verde,"['Girls Incarcerated' 'Blow' 'What the Fish' 'The Piano' 'Spark'
 'Red Christmas' 'Countdown to Death: Pablo Escobar']",2017,88,7
Andrea Gilbert,Grenada,"['Camelia la Texana' 'Borgen' 'Resurface' 'Reply 1997'
 'A Lion in the House' 'Holy Camp!'
 'Amandla! A Revolution in Four Part Harmony' 'The Lobster' 'Run On']",2010,19,2
Christopher Adams,Indonesia,['37 Seconds' 'Rowdy Rathore' 'The Art of the Steal' 'Desolate' 'Tayee'],2022,91,10
Kelsey Moran,Mongolia,"['No Estoy Loca' 'The Playbook' 'Back with the Ex' 'The Confession Killer'
 'All My Friends Are Dead']",2018,100,3
Jason Williams,Jordan,"['A.X.L.' 'The Adventures of Puss in Boots' 'Single Wives'
 'Knock Down The House' 'Wild Child']",2020,74,5
Erin Peterson,French Polynesia,"['6 Days' 'Posesif' ""Marvel's Daredevil"" 'Big Kill' 'Lusers'
 'Rugrats in Paris: The Movie' ""Jeremy Scott: The People's Designer""
 'Someone Has to Die']",2021,85,7
Ariana Thompson,Bulgaria,"['Grizzlies' 'The Incredible Story of the Giant Pear' 'The Great Raid'
 'The Devil Inside' '100 Humans' 'Gilmore Girls: A Year in the Life'
 'Another Forever' 'The Women and the Murderer']",2007,39,10
William Griffin,Costa Rica,"['Errementari: The Blacksmith and the Devil' 'Sab Jholmaal Hai'
 'Flavorful Origins' 'The Box' 'Wasp Network'
 'Wonho Chung: Live in New York' 'One Spring Night']",2014,37,8
Desiree Leon,Greenland,"['Offering to the Storm' 'Good Kill'
 'Carmen Sandiego: To Steal or Not to Steal' 'The Plan'
 'The Guardian Brothers' 'Stealing History' 'A Perfect Ending'
 'Señora Acero' 'Agent']",2005,22,6
Carl Davis,Greece,"[""Super Monsters: Vida's First Halloween"" 'Arrow' 'The Kominsky Method'
 'Black Hawk Down' 'Brave Blue World: Racing to Solve Our Water Crisis'
 ""We're No Animals"" 'Abstract: The Art of Design']",2000,41,5
Ryan Stephens,Mongolia,"['The Wrong Missy' ""Angela's Christmas"" 'Ari Eldjárn: Pardon My Icelandic'
 'The Lizzie Borden Chronicles' 'One More Try' 'Pedal the World']",2002,97,6
Karen Christian,Belize,"['Familiar Wife' 'God of War' 'Calendar Girls' 'Time Please'
 'Haseen Dillruba']",2014,10,10
Erika Hayes,Timor-Leste,"['Broken' 'Kaleidoscope' 'Krishna Cottage' 'The Accidental Spy'
 'The Inbetweeners' 'Rangreza' 'Captain Underpants Epic Choice-o-Rama']",2009,9,9
Kimberly Williams,Vietnam,"['Tales of the City' 'Chambers' ""India: Nature's Wonderland""
 'The Playbook' 'YES DAY' '(T)ERROR'
 'The House of Flowers Presents: The Funeral' 'Elisa & Marcela'
 'Natascha Kampusch: The Whole Story']",2005,92,6
Hailey Murphy,Cameroon,"['Sat Sri Akal' 'Operation Proposal' 'Detention Letter'
 'Extreme Engagement' 'Enemy']",2006,63,1
Jennifer Villarreal,French Southern Territories,"['Code Lyoko' 'Sam Kinison: Breaking the Rules' 'Dance of the Forty One'
 'Parks and Recreation' 'Avicii: True Stories']",2013,27,8
Steven Guzman,Martinique,"['Dandy' 'Mom' 'Ozark' 'Sand Castle' 'One More Shot' 'Ask the StoryBots'
 'Booba: Food Puzzle' 'Power Rangers in Space']",2005,96,3
Alexis Taylor,Suriname,"['Jim Norton: Mouthful of Shame' 'Shark Busters' ""Class of '83""
 'Action Replayy' 'The Toys That Made Us' 'Bill Hicks: Reflections']",2007,50,10
Thomas Garza,Spain,"['Ranbhool' 'Little Witch Academia' 'Blood Red Sky'
 'Chico Bon Bon: Monkey with a Tool Belt' 'Amy Tan: Unintended Memoir'
 'The Disappearance of Madeleine McCann' 'Merku Thodarchi Malai'
 'Hope: One in a Billion' 'Kocan Kadar Konus 2: Dirilis']",2020,54,4
Jasmine Williams,Tokelau,"['Yanxi Palace: Princess Adventures' 'Wish Man' 'The Captive'
 'The Magic School Bus Rides Again The Frizz Connection' 'Planet Hulk'
 'Braven' 'I Am All Girls' 'The Shadow of Violence' 'Perdida']",2022,6,3
Sergio Pineda,American Samoa,"['Gaga: Five Foot Two' 'Covered: Alive in Asia' 'Chittagong'
 'Final Destination 3' 'Dilan 1990' 'Ajab Prem Ki Ghazab Kahani'
 'What the Jatt!!' 'Flowering Heart']",2010,72,2
Eric Rogers,Guinea-Bissau,"['Season of the Witch' 'Malibu Rescue: The Next Wave' 'The Witch Files'
 'Scream' 'Bioscope']",2010,73,5
Dominique Wright,Lesotho,"['John Mulaney: New in Town' 'Colin Quinn: Red State Blue State'
 'Chhota Bheem & Ganesh' 'Kaaliyan' 'The Discovery' 'Brick']",2018,79,4
Kayla Adams,Nicaragua,"['Trollhunters: Rise of the Titans' 'Duplicate'
 'Barbie: The Princess & the Popstar' 'Gnome Alone' 'My Travel Buddy'
 'The Cravings' 'Bobby Kennedy for President'
 'The Massively Mixed-Up Middle School Mystery']",2015,48,8
Bernard Ware,Palestinian Territory,"['Tuca & Bertie' 'Paquita Salas' 'Drishyam' 'You Are My Spring'
 'The Ugly Truth']",2006,57,4
Joshua Gutierrez,New Caledonia,"[""Masha's Spooky Stories"" 'Miss J Contemplates Her Choice'
 'Gameboys Level-Up Edition' 'Hawaizaada' 'Outer Banks' 'On My Skin'
 'Waarrior Savitri' '(Un)Well']",2022,55,9
Dustin Wilson,Iran,"['The Edge of Democracy' 'Power Rangers Ninja Storm' 'The 2000s'
 'Tell Me When'
 'InuYasha: The Movie 2: The Castle Beyond the Looking Glass'
 'The Could’ve-Gone-All-the-Way Committee'
 'John Mulaney: The Comeback Kid' 'Sabrina']",2007,12,2
Roberto Smith,Bolivia,"['Kung Fu Panda: Secrets of the Scroll'
 'Jingle Jangle: A Christmas Journey' 'Streets of Fire' 'The Fix'
 'CAROLE & TUESDAY']",2011,35,2
Miss Emily Smith,Belgium,"['Even the Rain' 'Mark Gatiss: A Study in Sherlock' 'Making a Murderer'
 'Paskal' 'Bittersweet' ""The Boss's Daughter""]",2000,9,8
Dr. Amy Watson MD,Georgia,"['Rocky' 'Mr. Virgin' 'My First First Love' 'Killer Ratings'
 ""Mike Epps: Don't Take It Personal"" 'Sand Storm'
 'Jim Gaffigan: Mr. Universe']",2004,93,1
Michael Hernandez,Saudi Arabia,"['Moh Maya Money' 'The Sea of Trees' 'StartUp'
 'The Real Football Factories' 'Dharam Sankat Mein' 'World of Winx'
 ""She's Out of My League"" 'DreamWorks Home: For the Holidays'
 'Solo: A Star Wars Story']",2005,76,9
